regionname,avgzhvi2018,stname,popestimate2017
,,Alabama,4874747
Abbeville,74036,Alabama,2567
Adamsville,79918,Alabama,4347
Addison,258873,Alabama,728
Addison,236236,Alabama,728
Addison,324564,Alabama,728
Addison,229636,Alabama,728
Akron,148373,Alabama,332
Akron,94282,Alabama,332
Akron,190473,Alabama,332
Akron,63564,Alabama,332
Alabaster,171482,Alabama,33202
Albertville,242691,Alabama,21392
Alexander,113836,Alabama,14595
Alexander,250982,Alabama,14595
,,Alabama,2335
,,Alabama,624
Altoona,141582,Alabama,917
Altoona,210091,Alabama,917
Altoona,74509,Alabama,917
Andalusia,125118,Alabama,8787
Anderson,217500,Alabama,276
Anderson,139709,Alabama,276
,,Alabama,21770
,,Alabama,8284
Ardmore,114682,Alabama,1398
Ardmore,121773,Alabama,1398
Ardmore,325064,Alabama,1398
Ardmore,74445,Alabama,1398
Argo,189000,Alabama,4268
,,Alabama,739
,,Alabama,346
Ashford,126282,Alabama,2144
Ashford,108527,Alabama,2144
Ashland,193200,Alabama,1932
Ashland,161891,Alabama,1932
Ashland,184800,Alabama,1932
Ashland,97236,Alabama,1932
Ashland,104973,Alabama,1932
Ashland,259991,Alabama,1932
Ashland,82982,Alabama,1932
Ashland,453200,Alabama,1932
Ashville,138973,Alabama,2291
Ashville,183073,Alabama,2291
Athens,190645,Alabama,25616
Athens,119736,Alabama,25616
Athens,140227,Alabama,25616
Athens,121864,Alabama,25616
Athens,172136,Alabama,25616
Athens,141945,Alabama,25616
Athens,169682,Alabama,25616
,,Alabama,9890
Attalla,66073,Alabama,5827
Auburn,113127,Alabama,63973
Auburn,178300,Alabama,63973
Auburn,345182,Alabama,63973
Auburn,164282,Alabama,63973
Auburn,263773,Alabama,63973
Auburn,151500,Alabama,63973
Auburn,93436,Alabama,63973
Auburn,444727,Alabama,63973
Auburn,243009,Alabama,63973
Auburn,368127,Alabama,63973
,,Alabama,855
Avon,132164,Alabama,514
Avon,339455,Alabama,514
Avon,224945,Alabama,514
Avon,598909,Alabama,514
Avon,149736,Alabama,514
Avon,285982,Alabama,514
Avon,196145,Alabama,514
,,Alabama,599
,,Alabama,622
,,Alabama,255
Banks,376618,Alabama,168
Bay Minette,129045,Alabama,9169
,,Alabama,2512
,,Alabama,1042
Beatrice,108109,Alabama,280
Beaverton,89782,Alabama,185
Beaverton,379609,Alabama,185
,,Alabama,204
Benton,92945,Alabama,43
Benton,117209,Alabama,43
Benton,152400,Alabama,43
Benton,157773,Alabama,43
Benton,117709,Alabama,43
Benton,86555,Alabama,43
Benton,131636,Alabama,43
Berry,86082,Alabama,1098
Bessemer,73955,Alabama,26386
,,Alabama,138
Birmingham,492982,Alabama,210710
,,Alabama,208
,,Alabama,1670
Blue Springs,176336,Alabama,87
,,Alabama,9652
,,Alabama,302
Bon Air,233918,Alabama,113
,,Alabama,788
,,Alabama,4864
,,Alabama,5236
